_question,_qv_content,_qv_vote,_qv_comment,total_answer_count,accepted_answer,at_vote,at_comment,suggestedanswers,sv_vote,sv_comment
Running a Scrapy Crawler,"I am very new in Python and Scrapy and I have written a crawler in PyCharm as follow: import scrapy from scrapy.spiders import Spider from scrapy.http import Request import re class TutsplusItem(scrapy.Item): title = scrapy.Field() class MySpider(Spider): name = ""tutsplus"" allowed_domains = [""bbc.com""] start_urls = [""http://www.bbc.com/""] def parse(self, response): links = response.xpath('//a/@href').extract() # We stored already crawled links in this list crawledLinks = [] for link in links: # If it is a proper link and is not checked yet, yield it to the Spider #if linkPattern.match(link) and not link in crawledLinks: if not link in crawledLinks: link = ""http://www.bbc.com"" + link crawledLinks.append(link) yield Request(link, self.parse) titles = response.xpath('//a[contains(@class, ""media__link"")]/text()').extract() for title in titles: item = TutsplusItem() item[""title""] = title print(""Title is : %s"" %title) yield item However, when I run above codes, nothing prints on the screen! What is wrong in my code?",0,,3 Answers 3,,,,"You would typically start scrapy using scrapy crawl, which will hook everything up for you and start the crawling. It also looks like your code is not properly indented (only one line inside parse when they all should be).|Put the code in a text file, name it to something like your_spider.py and run the spider using the runspider command: scrapy runspider your_spider.py|To run a spider from within Pycharm you need to configure ""Run/Debug configuration"" properly. Running your_spider.py as a standalone script wouldn't result in anything. As mentioned by @stranac scrapy crawl is the way to go. With scrapy being a binary and crawl an argument of your binary. Configure Run/Debug In the main menu go to : Run > Run Configurations... Find the appropriate scrapy binary within your virtualenv and set its absolute path as Script. This should look like something like this: /home/username/.virtualenvs/your_virtualenv_name/bin/scrapy In Scrapy parameters set up the parameters the binary scrapy will execute. In your case, you wan to start your spider. this is how this should look like: crawl your_spider_name e.g. crawl tutsplus Make sure that the Python intrepreter is the one where you setup Scrapy and other packages needed for your project. Make sure that the working directory is the directory containing settings.pywhich is also generated by Scrapy. From now on you should be able to Run and Debug your spiders from within Pycharm.","0,0,0",",,"
Scrapy crawler getting partial data,"I'm using Scrapy for crawling some website. I need to get data every hour so I created a crontab to launch my crawlers. I made a python script for every crawler and another script that launch every ""subscript"". So I have a ""master"" script that it's like ""os.system(""cd /home/.../directory1 ; python directory1Launch.py"")"" and some ""slave"" script that are like ""os.system(""scrapy crawl directory 1 -a start_url \""urls\"" -o data.json"")"" for a certain number of crawlers. That was working fine. Then I had to add some function in pipeline. Now a couple of crawler (that are working on the same site) crawl just a fraction of the data (2 items instead of 7 items). The fact is that if I launch the ""master"" script manually everithing works just fine. And the other crawler are working just like before. Maybe it's a time problem (parser taking too much time?) but it would happen also when manually launched... Any idea?",0,Is each script making more than one query?,0,,,,,,
Scrapy Crawler not following links,"I am writing a Scrapy crawler to scrape information from a property website, https://www.iproperty.com.sg/sale/?page=1, https://www.iproperty.com.sg/sale/?page=2 etc.. The idea is that for each row, obtain information from that row and make a request to a link on that row for further information. Once all rows on that page have been processed, move on to the next page and repeat: import scrapy from scrapy.linkextractors import LinkExtractor from scrapy.spiders import CrawlSpider, Rule from property.items import PropertyItem class IpropCrawlerSpider(CrawlSpider): name = 'iprop_crawler' allowed_domains = ['www.iproperty.com.sg'] start_urls = [""https://www.iproperty.com.sg/sale/?page=1""] rules = ( Rule(LinkExtractor(allow=r'sale\/\?page=[1-9]'), callback='parse_item', follow=True), ) def parse_item(self, response): prop_list_xpath = '//h3[@class=""cgiArp""]' for prop in response.xpath(prop_list_xpath): item = PropertyItem() item['name'] = prop.xpath('./a/text()').extract_first() deep_uri = prop.xpath('./a/@href').extract_first() deep_url = 'https://www.iproperty.com.sg' + deep_uri request = scrapy.Request(deep_url, callback=self.parse_per_prop) request.meta['item'] = item yield request def parse_per_prop(self, response): item = response.meta['item'] item['price'] = response\ .xpath('//div[@class=""property-price duzTnm""]/text()')\ .extract_first() item['address'] = response\ .xpath('//span[@class=""property-address sale-default""]/text()')\ .extract_first() item['property_type'] = response\ .xpath('//div[@class=""property-attr-propertyType cXGbLS""]' \ + '/div[2]/text()')\ .extract_first() yield item Running this crawler results in no data scraped: 2018-11-09 01:53:58 [scrapy.utils.log] INFO: Scrapy 1.5.1 started (bot: property) 2018-11-09 01:53:58 [scrapy.utils.log] INFO: Versions: lxml 3.7.2.0, libxml2 2.9.4, cssselect 1.0.0, parsel 1.5.0, w3lib 1.17.0, Twisted 17.1.0, Python 3.6.1 |Anaconda custom (64-bit)| (default, Mar 22 2017, 19:54:23) - [GCC 4.4.7 20120313 (Red Hat 4.4.7-1)], pyOpenSSL 16.2.0 (OpenSSL 1.0.2p 14 Aug 2018), cryptography 1.7.1, Platform Linux-4.18.16-arch1-1-ARCH-x86_64-with-arch 2018-11-09 01:53:58 [scrapy.crawler] INFO: Overridden settings: {'BOT_NAME': 'property', 'DOWNLOAD_DELAY': 1, 'NEWSPIDER_MODULE': 'property.spiders', 'ROBOTSTXT_OBEY': True, 'SPIDER_MODULES': ['property.spiders']} 2018-11-09 01:53:58 [scrapy.middleware] INFO: Enabled extensions: ['scrapy.extensions.corestats.CoreStats', 'scrapy.extensions.telnet.TelnetConsole', 'scrapy.extensions.memusage.MemoryUsage', 'scrapy.extensions.logstats.LogStats'] 2018-11-09 01:53:58 [scrapy.middleware] INFO: Enabled downloader middlewares: ['scrapy.downloadermiddlewares.robotstxt.RobotsTxtMiddleware', 'scrapy.downloadermiddlewares.httpauth.HttpAuthMiddleware', 'scrapy.downloadermiddlewares.downloadtimeout.DownloadTimeoutMiddleware', 'scrapy.downloadermiddlewares.defaultheaders.DefaultHeadersMiddleware', 'scrapy.downloadermiddlewares.useragent.UserAgentMiddleware', 'scrapy.downloadermiddlewares.retry.RetryMiddleware', 'scrapy.downloadermiddlewares.redirect.MetaRefreshMiddleware', 'scrapy.downloadermiddlewares.httpcompression.HttpCompressionMiddleware', 'scrapy.downloadermiddlewares.redirect.RedirectMiddleware', 'scrapy.downloadermiddlewares.cookies.CookiesMiddleware', 'scrapy.downloadermiddlewares.httpproxy.HttpProxyMiddleware', 'scrapy.downloadermiddlewares.stats.DownloaderStats'] 2018-11-09 01:53:58 [scrapy.middleware] INFO: Enabled spider middlewares: ['scrapy.spidermiddlewares.httperror.HttpErrorMiddleware', 'scrapy.spidermiddlewares.offsite.OffsiteMiddleware', 'scrapy.spidermiddlewares.referer.RefererMiddleware', 'scrapy.spidermiddlewares.urllength.UrlLengthMiddleware', 'scrapy.spidermiddlewares.depth.DepthMiddleware'] 2018-11-09 01:53:58 [scrapy.middleware] INFO: Enabled item pipelines: [] 2018-11-09 01:53:58 [scrapy.core.engine] INFO: Spider opened 2018-11-09 01:53:58 [scrapy.extensions.logstats] INFO: Crawled 0 pages (at 0 pages/min), scraped 0 items (at 0 items/min) 2018-11-09 01:53:58 [scrapy.extensions.telnet] DEBUG: Telnet console listening on 127.0.0.1:6024 2018-11-09 01:53:58 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.iproperty.com.sg/robots.txt> (referer: None) 2018-11-09 01:54:01 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.iproperty.com.sg/sale/?page=1> (referer: None) 2018-11-09 01:54:01 [scrapy.core.engine] INFO: Closing spider (finished) 2018-11-09 01:54:01 [scrapy.statscollectors] INFO: Dumping Scrapy stats: {'downloader/request_bytes': 460, 'downloader/request_count': 2, 'downloader/request_method_count/GET': 2, 'downloader/response_bytes': 154841, 'downloader/response_count': 2, 'downloader/response_status_count/200': 2, 'finish_reason': 'finished', 'finish_time': datetime.datetime(2018, 11, 8, 17, 54, 1, 224281), 'log_count/DEBUG': 3, 'log_count/INFO': 7, 'memusage/max': 47136768, 'memusage/startup': 47136768, 'response_received_count': 2, 'scheduler/dequeued': 1, 'scheduler/dequeued/memory': 1, 'scheduler/enqueued': 1, 'scheduler/enqueued/memory': 1, 'start_time': datetime.datetime(2018, 11, 8, 17, 53, 58, 676635)} 2018-11-09 01:54:01 [scrapy.core.engine] INFO: Spider closed (finished) If I change parse_item to parse_start_url only the first page is scraped but the following links are not followed: 2018-11-09 02:11:42 [scrapy.statscollectors] INFO: Dumping Scrapy stats: {'downloader/request_bytes': 6195, 'downloader/request_count': 20, 'downloader/request_method_count/GET': 20, 'downloader/response_bytes': 2433163, 'downloader/response_count': 20, 'downloader/response_status_count/200': 20, 'finish_reason': 'shutdown', 'finish_time': datetime.datetime(2018, 11, 8, 18, 11, 42, 430358), 'item_scraped_count': 18, 'log_count/DEBUG': 39, 'log_count/INFO': 8, 'memusage/max': 47132672, 'memusage/startup': 47132672, 'request_depth_max': 1, 'response_received_count': 20, 'scheduler/dequeued': 19, 'scheduler/dequeued/memory': 19, 'scheduler/enqueued': 21, 'scheduler/enqueued/memory': 21, 'start_time': datetime.datetime(2018, 11, 8, 18, 11, 18, 416991)} 2018-11-09 02:11:42 [scrapy.core.engine] INFO: Spider closed (shutdown) I would like to seek enlightenment on this issue as to why I am unable to follow the link to the next pages.",2,"Unfortunately passing a string as an argument does not seem to change the result. Also, should it not be 'sale\/\?page=[1-9]\d*'?",2 Answers 2,So I discovered that there was a problem with the rule itself and had to use an xpath selector instead.,-1,,"Judging by the Scrapy documentation, it looks like your passing a reference to your parse_item method to the callback argument of the rule. However, according to the docs, this callback operates on the extracted links. That's not what you want because your function requires a Scrapy Response to run. So, what you should do is use the process_request argument. On a related note, I changed your regex because the way you have it now it'll only work for pages 1 to 9 rules = ( Rule(LinkExtractor(allow = r'sale\/\?page=[1-9]\d*'), process_request = 'parse_item', follow = True), ) As an aside, you probably shouldn't return a Request object back to Scrapy and instead should use scrapy.Item and ItemLoader to store your data.",2,"Unfortunately passing a string as an argument does not seem to change the result. Also, should it not be 'sale\/\?page=[1-9]\d*'? – Kevin Tham Nov 9 '18 at 17:02"
Scrapy Crawler excel output,"I am new to python and scrapy, however I was trying to develop a crawler and scraper to extract list of products on an amazon page, the scraped info must have name, price and prime availability. Items are scraped however every item scraped is when outputted in a csv file is entirely in one single cell. All I want is to make each product and its corresponding details be outputted in each cell distinctly. The logic is: items= [] for products in response.xpath('//*[@id=""mainResults""]/ul'): item = amazonlist() item['Title'] = products.css('a>h2::text').extract() item['Price'] = products.css(' div > div > div > a > span.a-size-base.a-color-price.s-price.a-text-bold::text').extract() item['Prime'] = products.css(' div > div > div > i::attr(aria-label)').extract() items.append(item) return items Can you guide me with this ?",0,"But that would still require human intervention, all I want is to directly output the contents organized in excel sheet.",2 Answers 2,,,,"I've been playing with some web scrapping my self recently. The way I've been pulling things from a web page has been by using lxml to get the html and then I store that into a text file and then sort through it from there. Hope I helped.|Since I can't run your example and have only part of your code, two ideas. Both may or may not cause your data being conglomerated in one cell: You are returning all items at once, rather than yielding them one by one (look up Python generators if you're unsure what this means). Try this instead: items= [] for products in response.xpath('//*[@id=""mainResults""]/ul'): item = amazonlist() item['Title'] = products.css('a>h2::text').extract() item['Price'] = products.css(' div > div > div > a > span.a-size-base.a-color-price.s-price.a-text-bold::text').extract() item['Prime'] = products.css(' div > div > div > i::attr(aria-label)').extract() yield item The extract method returns a list of results, one for every match. If every products instance in the loop contains multiple products in itself, they all match. You would have to break the query further down to loop through each individual product. You can use pdb or a print statement to check if, for example, item['Title'] contains a list of strings rather than one. Hope this helps!","0,0","But that would still require human intervention, all I want is to directly output the contents organized in excel sheet. – raj shastri Jan 22 '17 at 20:59,I have even tried this code, I still get the very same output. – raj shastri Jan 26 '17 at 6:57"
"Scrapy crawler, removing comma from the string","def parse_item(self, response): for jobs in response.xpath('//div[@itemtype=""http://schema.org/JobPosting""]'): item = IndeedCoUkItem() item[""jobtitle""] = jobs.xpath('*[@class=""jobtitle""]/a//text()').extract() yield item item saved to a CSV file as, jobtitle ""Senior ,Embedded, ,Software, Engineer"" Hi, The above is a snippet from my scrapy crawler code. I would like to have the output be comma and white space free. That is from ""Senior ,Embedded, ,Software, Engineer"" to this ""Senior Embedded Software Engineer"". I tried to use replace() like ..extract()[0].replace("","",""""), but it didn't work. Any help/ suggestion?",4,"GHajba, your solutions seems to work (no more comma) but I got whitespace remained there. Here is the actual output, [u'Senior ', u'Embedded', u' ', u'Software', u' Engineer'] [u'Embedded', u' C'] [u'Software', u' Engineer, Compiler']",2 Answers 2,"Did you try to print / log the list which gets into the item['jobtitle] field? If it is a list (well, it is a list) then the export to a CSV file converts this list to a comma separated entry. Try to look at the result and join the list to one: item[""jobtitle""] = ' '.join(jobs.xpath('*[@class=""jobtitle""]/a//text()').extract()) If the items contain extra white-spaces but not all of them, you can use map and strip on the elements: item[""jobtitle""] = ' '.join(map(unicode.strip,jobs.xpath('*[@class=""jobtitle""]/a//text()').extract())) This walks throug all the elements and strips off the whitespaces at the beginning and at the end. Alternatively you could use normalize-space of XPath: item[""jobtitle""] = ' '.join(jobs.xpath('normalize-space(*[@class=""jobtitle""]/a//text())').extract())",3,"GHajba, your solutions seems to work (no more comma) but I got whitespace remained there. Here is the actual output, [u'Senior ', u'Embedded', u' ', u'Software', u' Engineer'] [u'Embedded', u' C'] [u'Software', u' Engineer, Compiler'] – ibrahimdanish Sep 14 '15 at 11:37","item[""jobtitle""] = (jobs.xpath('*[@class=""jobtitle""]/a//text()').extract()).replace(',', '')",-1,"There is no explanation of what this code does, or why. Please add clarification to add to the value that this answer brings. – rcbevans Sep 14 '15 at 14:49"
scrapy crawler caught exception reading instance data,"I am new to python and want to use scrapy to build a web crawler. I go through the tutorial in http://blog.siliconstraits.vn/building-web-crawler-scrapy/. Spider code likes following: from scrapy.spider import BaseSpider from scrapy.selector import HtmlXPathSelector from nettuts.items import NettutsItem from scrapy.http import Request class MySpider(BaseSpider): name = ""nettuts"" allowed_domains = [""net.tutsplus.com""] start_urls = [""http://net.tutsplus.com/""] def parse(self, response): hxs = HtmlXPathSelector(response) titles = hxs.select('//h1[@class=""post_title""]/a/text()').extract() for title in titles: item = NettutsItem() item[""title""] = title yield item When launch the spider with command line: scrapy crawl nettus, it has following error: [boto] DEBUG: Retrieving credentials from metadata server. 2015-07-05 18:27:17 [boto] ERROR: Caught exception reading instance data Traceback (most recent call last): File ""/anaconda/lib/python2.7/site-packages/boto/utils.py"", line 210, in retry_url r = opener.open(req, timeout=timeout) File ""/anaconda/lib/python2.7/urllib2.py"", line 431, in open response = self._open(req, data) File ""/anaconda/lib/python2.7/urllib2.py"", line 449, in _open '_open', req) File ""/anaconda/lib/python2.7/urllib2.py"", line 409, in _call_chain result = func(*args) File ""/anaconda/lib/python2.7/urllib2.py"", line 1227, in http_open return self.do_open(httplib.HTTPConnection, req) File ""/anaconda/lib/python2.7/urllib2.py"", line 1197, in do_open raise URLError(err) URLError: <urlopen error [Errno 65] No route to host> 2015-07-05 18:27:17 [boto] ERROR: Unable to read instance data, giving up really do not know what's wrong. Hope somebody could help",10,Is that the full traceback (I'm guessing it's not)/,2 Answers 2,"in the settings.py file: add following code settings: DOWNLOAD_HANDLERS = {'s3': None,}",28,Where is this documented? – gusridd Oct 15 '15 at 3:34,The important information is: URLError: <urlopen error [Errno 65] No route to host> That is trying to tell you that your computer doesn't know how to communicate with the site you're trying to scrape. Are you able to access the site normally (i.e. in a web-browser) from the machine you're trying to run this python on?,0,"Well, I'm not sure how to help you further. All I can say is that ""No route to host"" is a networking problem telling you that the OS doesn't know how to send packets to the IP address it needs to send packets to. – CrazyCasta Jul 5 '15 at 16:54"
Difference between BeautifulSoup and Scrapy crawler?,I want to make a website that shows the comparison between amazon and e-bay product price. Which of these will work better and why? I am somewhat familiar with BeautifulSoup but not so much with Scrapy crawler.,132,Why would you use crawlers when both those sites have a great API? aws.amazon.com/python developer.ebay.com/common/api,8 Answers 8,"Scrapy is a Web-spider or web scraper framework, You give Scrapy a root URL to start crawling, then you can specify constraints on how many (number of) URLs you want to crawl and fetch,etc. It is a complete framework for web-scraping or crawling. While BeautifulSoup is a parsing library which also does a pretty good job of fetching contents from URL and allows you to parse certain parts of them without any hassle. It only fetches the contents of the URL that you give and then stops. It does not crawl unless you manually put it inside an infinite loop with certain criteria. In simple words, with Beautiful Soup you can build something similar to Scrapy. Beautiful Soup is a library while Scrapy is a complete framework. Source",228,"which is faster , I mean i am using BeautifulSoup and it takes around 10sec to scrap data ? does scrapy faster than beautifulsoup ? – shuboy2014 Jun 22 '16 at 9:38","I think both are good... im doing a project right now that use both. First i scrap all the pages using scrapy and save that on a mongodb collection using their pipelines, also downloading the images that exists on the page. After that i use BeautifulSoup4 to make a pos-processing where i must change attributes values and get some special tags. If you don't know which pages products you want, a good tool will be scrapy since you can use their crawlers to run all amazon/ebay website looking for the products without making a explicit for loop. Take a look at the scrapy documentation, it's very simple to use.|Both are using to parse data. Scrapy: Scrapy is a fast high-level web crawling and web scraping framework, used to crawl websites and extract structured data from their pages. But it has some limitations when data comes from java script or loading dynamicaly, we can over come it by using packages like splash, selenium etc. BeautifulSoup: Beautiful Soup is a Python library for pulling data out of HTML and XML files. we can use this package for getting data from java script or dynamically loading pages. Scrapy with BeautifulSoup is one of the best combo we can work with for scraping static and dynamic contents|The way I do it is to use the eBay/Amazon API's rather than scrapy, and then parse the results using BeautifulSoup. The APIs gives you an official way of getting the same data that you would have got from scrapy crawler, with no need to worry about hiding your identity, mess about with proxies,etc.|Scrapy It is a web scraping framework which comes with tons of goodies which make scraping from easier so that we can focus on crawling logic only. Some of my favourite things scrapy takes care for us are below. Feed exports: It basically allows us to save data in various formats like CSV,JSON,jsonlines and XML. Asynchronous scraping: Scrapy uses twisted framework which gives us power to visit multiple urls at once where each request is processed in non blocking way(Basically we don't have to wait for a request to finish before sending another request). Selectors: This is where we can compare scrapy with beautiful soup. Selectors are what allow us to select particular data from the webpage like heading, certain div with a class name etc.). Scrapy uses lxml for parsing which is extremely fast than beautiful soup. Setting proxy,user agent ,headers etc: scrapy allows us to set and rotate proxy,and other headers dynamically. Item Pipelines: Pipelines enable us to process data after extraction. For example we can configure pipeline to push data to your mysql server. Cookies: scrapy automatically handles cookies for us. etc. TLDR: scrapy is a framework that provides everything that one might need to build large scale crawls. It provides various features that hide complexity of crawling the webs. one can simply start writing web crawlers without worrying about the setup burden. Beautiful soup Beautiful Soup is a Python package for parsing HTML and XML documents. So with Beautiful soup you can parse a webpage that has been already downloaded. BS4 is very popular and old. Unlike scrapy,You cannot use beautiful soup only to make crawlers. You will need other libraries like requests,urllib etc to make crawlers with bs4. Again, this means you would need to manage the list of urls being crawled,to be crawled, handle cookies , manage proxy, handle errors, create your own functions to push data to CSV,JSON,XML etc. If you want to speed up than you will have to use other libraries like multiprocessing. To sum up. Scrapy is a rich framework that you can use to start writing crawlers without any hassale. Beautiful soup is a library that you can use to parse a webpage. It cannot be used alone to scrape web. You should definitely use scrapy for your amazon and e-bay product price comparison website. You could build a database of urls and run the crawler every day(cron jobs,Celery for scheduling crawls) and update the price on your database.This way your website will always pull from the database and crawler and database will act as individual components.|BeautifulSoup is a library that lets you extract information from a web page. Scrapy on the other hand is a framework, which does the above thing and many more things you probably need in your scraping project like pipelines for saving data. You can check this blog to get started with Scrapy https://www.inkoop.io/blog/web-scraping-using-python-and-scrapy/|Using scrapy you can save tons of code and start with structured programming, If you dont like any of the scapy's pre-written methods then BeautifulSoup can be used in the place of scrapy method. Big project takes both advantages.|The differences are many and selection of any tool/technology depends on individual needs. Few major differences are: BeautifulSoup is comparatively is easy to learn than Scrapy. The extensions, support, community is larger for Scrapy than for BeautifulSoup. Scrapy should be considered as a Spider while BeautifulSoup is a Parser.","18,4,2,2,1,0,0","So can i use Scrapy on web server because there are many dependencies of it like (Twisted, pywin32, pyOpenSSL ete..). (Sorry for this silly question, i am new to python) – Nishant Bhakta Oct 30 '13 at 16:00,,The question clearly asks for solutions where APIs are not available. – Rohanil Mar 16 '17 at 2:05,,,,"
